date,total_teu,freightos_index,diesel_price_usd,gscpi,us_manuf_pmi,peak_season
2009-01-01,587004.2,1435.779064947225,2.29225,-0.4056553285406954,87.761,0
2009-02-01,413910.3,1260.2439064369487,2.1952499999999997,-0.44390393091629327,87.7622,0
2009-03-01,526487.05,1379.4357347078712,2.092,0.1804842078587734,86.2344,0
2009-04-01,532124.15,1419.9690800603908,2.2197500000000003,0.8392550436801514,85.6368,0
2009-05-01,574827.8,1244.9424230398854,2.2265,0.32619559948105514,84.711,0
2009-06-01,551679.7,1382.8038443823914,2.5292000000000003,-0.5137181328825718,84.4343,0
2009-07-01,576203.25,1602.195974462159,2.54,-0.7481194190955611,85.8216,0
2009-08-01,612581.5,1624.4648988880122,2.6338,-1.1367934734091785,86.8203,0
2009-09-01,583557.0,1678.306443323568,2.626,-0.5003802619792092,87.7576,0
2009-10-01,647423.7,1571.1320359118909,2.672,-0.4645291506109628,87.8323,1
2009-11-01,580206.15,1673.8945668019137,2.7922000000000002,-0.7997425135962213,88.7957,1
2009-12-01,562989.75,1570.0012741886053,2.7445,-0.6198862941170682,88.7374,0
2010-01-01,572969.15,1415.5861970136787,2.8447500000000003,-0.32591049956026136,89.7715,0
2010-02-01,525458.6,1435.023965114513,2.7845,-0.15800426660783412,89.8215,0
2010-03-01,550249.8,1357.0267399063619,2.9148,0.3606030088933391,91.0021,0
2010-04-01,595283.7,1274.8161319623935,3.059,0.29213218703849414,91.8003,0
2010-05-01,689420.7,1441.1963163333794,3.0688,0.43613952352843705,92.9906,0
2010-06-01,730317.85,1413.70056592539,2.94775,-0.030720943254563236,92.9321,0
2010-07-01,730745.6,1673.8041587447137,2.91125,-0.04140780463084801,93.443,0
2010-08-01,763837.2,1650.9242799344474,2.9585999999999997,0.3056751895549406,93.6275,0
2010-09-01,711613.0,1661.365873754638,2.94625,0.3696416494387652,93.7421,0
2010-10-01,682384.5,1588.2321290215195,3.0515,0.6755570701260695,93.7752,1
2010-11-01,666970.5,1706.6304437095023,3.1399999999999997,0.4493215255849188,93.9046,1
2010-12-01,612651.7,1486.0923466138076,3.2425,0.6998559769890209,94.3885,0
2011-01-01,660517.8,1373.7634662450012,3.3878,0.7673145509686506,94.4812,0
2011-02-01,554912.8,1315.7169390575345,3.584,0.3626059879254369,94.681,0
2011-03-01,600796.0,1362.1588874958252,3.9045,0.7378344782640457,95.3244,0
2011-04-01,617272.5,1373.5873676028316,4.06425,1.6251283187367505,94.7934,0
2011-05-01,692933.7,1444.9171789410207,4.046799999999999,0.9425006626220752,94.7881,0
2011-06-01,640794.6,1538.7738902707094,3.933,0.19844190101589906,94.9349,0
2011-07-01,688325.55,1794.313181123042,3.90525,0.286286498108917,95.4946,0
2011-08-01,723170.55,1615.5059913369632,3.8598,-0.10271817530611084,95.9868,0
2011-09-01,705623.85,1628.3659329095892,3.83725,-0.5518713705438236,96.2364,0
2011-10-01,712586.2,1575.033750298738,3.7976,-0.37737840013379753,96.7654,1
2011-11-01,694108.7,1648.7644369137024,3.962,0.13923013256977265,96.5632,1
2011-12-01,649468.7,1601.6075063448802,3.8609999999999998,-0.040445897526744205,97.2084,0
2012-01-01,698715.1,1400.3600450823976,3.8326000000000002,0.384897010943297,98.0951,0
2012-02-01,525653.45,1276.3593903959722,3.9525,0.00754259795949073,98.5224,0
2012-03-01,650452.25,1254.7010877172538,4.1265,-0.36844781113354586,98.0069,0
2012-04-01,707182.2,1396.5837354998525,4.115,-0.3261781794590711,98.5366,0
2012-05-01,731352.9,1472.879302883811,3.9785,-0.6748377494922805,98.2793,0
2012-06-01,696847.95,1548.8838841474674,3.7585,-0.7051538718943797,98.6278,0
2012-07-01,726375.25,1526.5103739246586,3.721,-0.6895241348788741,98.4571,0
2012-08-01,706669.8,1678.950513875565,3.9825,-0.13968292927898554,98.3137,0
2012-09-01,744923.15,1691.7619295613858,4.12,-0.2629701458628571,98.1136,0
2012-10-01,718406.35,1677.6119570938915,4.0938,-0.01050462605967423,97.9828,1
2012-11-01,582981.7,1673.1343054162573,4.0,-0.3586380036508256,98.5509,1
2012-12-01,588154.2,1520.1235993897214,3.9608000000000003,-0.1534400437592857,99.2403,0
2013-01-01,669000.3,1467.4360874358824,3.9085,-0.05281975693112325,99.0467,0
2013-02-01,614958.75,1349.5654715106332,4.1105,-0.3790070578625537,99.4999,0
2013-03-01,503168.0,1342.8982563762468,4.06775,-0.5463582514805236,99.4239,0
2013-04-01,640330.2,1395.0268819248588,3.9299999999999997,-0.7340406577421734,99.1189,0
2013-05-01,636851.6,1286.7246176402105,3.87025,-0.8707433142279417,99.3881,0
2013-06-01,646650.5,1471.229590527843,3.84925,-0.6714305184195539,99.6551,0
2013-07-01,715640.25,1545.1264487804672,3.8659999999999997,-0.6618946745727897,98.7947,0
2013-08-01,709675.75,1592.4100943171645,3.9044999999999996,-0.5738934436258157,99.6198,0
2013-09-01,710892.25,1652.2656610763504,3.9608,-0.29048686078505614,99.644,0
2013-10-01,684207.1,1804.4115879414092,3.88475,-0.19163792658428,99.8771,1
2013-11-01,683849.0,1507.3997115628647,3.83875,-0.6994200002561453,99.8721,1
2013-12-01,653358.35,1587.1450519132334,3.8817999999999997,-0.5018348538842831,99.6773,0
2014-01-01,685549.85,1267.629217321303,3.89325,-0.6422872152941531,98.6228,0
2014-02-01,559786.35,1317.107979207881,3.9835000000000003,-0.2878543881494209,99.5446,0
2014-03-01,675274.1,1332.8900427563165,4.0006,-0.6274128430645891,100.4304,0
2014-04-01,706036.8,1391.392456083929,3.96425,-0.8289966533404532,100.4384,0
2014-05-01,689141.65,1470.1697686504756,3.94275,-0.838800868517822,100.7026,0
2014-06-01,736438.8,1571.4012511679935,3.9061999999999997,-0.7010231002056527,101.0359,0
2014-07-01,717407.0,1556.7316281074989,3.8835,-0.8270856783818842,101.516,0
2014-08-01,757702.45,1609.9485006437137,3.838,-0.6339112531810271,100.9258,0
2014-09-01,775132.7,1766.483968830721,3.7923999999999998,-0.8215117067262507,100.9676,0
2014-10-01,715682.9,1636.8778998656794,3.6805,-0.5975801957666022,100.8816,1
2014-11-01,663345.6,1468.2995247535623,3.64725,-0.9770896227897264,101.593,1
2014-12-01,658567.45,1398.0041507396868,3.4106,-0.40126477600922106,101.3884,0
2015-01-01,529427.2,1332.2143366042637,2.99725,-0.5165868630825412,100.7857,0
2015-02-01,502663.3,1384.2099128751984,2.8577500000000002,-0.3268265733311409,100.0389,0
2015-03-01,791863.9,1331.2801182967887,2.897,-0.39189776373734236,100.3616,0
2015-04-01,662973.25,1399.8009483232113,2.78225,-0.36436765197843046,100.3447,0
2015-05-01,694791.05,1373.8544261199293,2.8875,-0.5563028504684528,100.3722,0
2015-06-01,721802.6,1514.2685721969042,2.873,-0.8757124470076767,99.9743,0
2015-07-01,699127.95,1649.681323584484,2.78775,-0.4183960394315089,100.7102,0
2015-08-01,786667.8,1625.1500429170958,2.5949999999999998,-0.6892230742499724,100.4099,0
2015-09-01,730306.9,1726.0429439457873,2.505,-0.40429484746329597,100.1731,0
2015-10-01,704588.9,1590.1201954370138,2.51925,-0.25054352685086784,100.0112,1
2015-11-01,709968.7,1555.364663037692,2.4669999999999996,-0.6497179548265377,99.7327,1
2015-12-01,626276.65,1465.6435895401503,2.3095,-0.6094954662228435,99.4727,0
2016-01-01,704398.45,1308.8319659831673,2.14275,-0.8048783110341621,99.9002,0
2016-02-01,713721.0,1383.3882607650175,1.9982,-0.7588251232911887,99.569,0
2016-03-01,612863.2,1282.8233346559443,2.09,-0.6635597446025654,99.5203,0
2016-04-01,656177.05,1345.1230395827592,2.1515,-0.28107885520233133,99.4128,0
2016-05-01,770409.3,1450.67116734344,2.3146,-0.7168567654388708,99.334,0
2016-06-01,676006.9,1540.187805842695,2.4225000000000003,-0.2923233220174812,99.5908,0
2016-07-01,687891.8,1653.4777393960037,2.4045,-0.17531614518660443,99.6224,0
2016-08-01,798932.75,1646.0997370152677,2.3506,0.08535227788196577,99.1988,0
2016-09-01,747707.4,1637.3315301459495,2.39425,-0.2964942676298858,99.3936,0
2016-10-01,814574.5,1647.9643233451,2.4544,-0.06147351872587942,99.4863,1
2016-11-01,877564.2,1429.028295000404,2.4385,-0.3133585602850753,99.3724,1
2016-12-01,796536.25,1369.759877481922,2.51,-0.2248026241853656,99.3843,0
2017-01-01,826639.55,1298.0996127948176,2.5797999999999996,0.16357158556138185,99.5441,0
2017-02-01,625381.15,1263.690536569368,2.568,0.14479373576912688,99.4265,0
2017-03-01,788523.7,1351.6621187564963,2.5535,0.07557951069737179,99.1019,0
2017-04-01,714755.05,1271.0913252733903,2.5825,0.00999862029863244,100.3189,0
2017-05-01,796216.7,1378.0074479282678,2.5604,-0.14648219021398443,100.1472,0
2017-06-01,731032.35,1616.930546800746,2.5105,0.08618296010932978,100.1949,0
2017-07-01,796804.0,1556.0124171607401,2.4964,0.08977139859787472,99.8077,0
2017-08-01,847857.05,1729.1590117974104,2.5949999999999998,0.3921593230602128,99.6412,0
2017-09-01,763784.5,1585.8913378550046,2.78475,0.5526606071221916,99.6858,0
2017-10-01,748762.2,1635.4737197178604,2.7942,0.7946539346287845,100.7464,1
2017-11-01,924225.75,1499.3678959615304,2.90875,0.8127366947721049,100.8253,1
2017-12-01,779210.95,1469.4870231689492,2.909,0.6848936025125846,100.5601,0
2018-01-01,808728.5,1481.0900684288956,3.0183999999999997,0.5882481967986672,100.2412,0
2018-02-01,725059.45,1204.8123455946604,3.04575,0.062074635081660876,101.1146,0
2018-03-01,577865.9,1354.4063525688318,2.9875,0.43830693726664677,101.06,0
2018-04-01,705535.95,1363.2880727618656,3.0957999999999997,0.5193075290935236,101.8116,0
2018-05-01,768804.35,1359.7349137480512,3.24375,0.3817971165666793,100.9887,0
2018-06-01,723141.15,1369.854793105039,3.2527500000000003,0.43567196166451755,101.7103,0
2018-07-01,833567.85,1596.8811550359032,3.2328,0.44653898309410267,101.7704,0
2018-08-01,826638.4,1603.2778441840435,3.21825,0.5342808552437017,102.0029,0
2018-09-01,801264.15,1703.4537621045542,3.26225,0.46860840176414553,102.0449,0
2018-10-01,952553.75,1658.055650520334,3.3653999999999997,0.5342705715232755,101.6625,1
2018-11-01,832330.9,1742.8097062320153,3.2995,0.45711775688013084,101.403,1
2018-12-01,903258.15,1478.4579935274278,3.1228000000000002,0.4663306658920997,101.769,0
2019-01-01,852449.5,1323.4121121241903,2.97975,0.5154225881965844,100.8777,0
2019-02-01,705306.55,1358.5734561200304,2.9965,0.1451868228900793,100.2878,0
2019-03-01,650977.15,1337.4237373705637,3.07625,0.21638511728516074,100.0465,0
2019-04-01,736465.95,1453.7297266288433,3.121,0.017048582453272735,99.4028,0
2019-05-01,828662.15,1480.6504114043732,3.16125,-0.6235626997083802,99.3987,0
2019-06-01,764777.25,1532.1183953234558,3.0885,-0.4746337063800656,99.7717,0
2019-07-01,912154.15,1729.599095822346,3.0452,-0.4513961829328423,99.0618,0
2019-08-01,861080.8,1537.7773085476035,3.005,-0.29103837407635075,99.7154,0
2019-09-01,779902.75,1615.5130454988257,3.0162,0.12922025848238355,98.9031,0
2019-10-01,770188.5,1563.8264042737408,3.053,0.08680032314006765,98.0889,1
2019-11-01,728917.9,1552.8121447789397,3.0687499999999996,0.14771416210515848,98.9065,1
2019-12-01,746749.75,1376.0982467199321,3.0549999999999997,0.03936869017945973,98.9568,0
2020-01-01,806143.75,1463.7337701004985,3.0475,0.05535923005663075,98.6069,0
2020-02-01,544037.3,1326.1938499905498,2.9095,1.3021743832215693,98.8309,0
2020-03-01,449568.3,1203.5121414753894,2.7286,2.6716919146319906,94.3639,0
2020-04-01,688999.0,1472.580779455336,2.493,3.3853233632746766,79.8587,0
2020-05-01,581664.75,1915.364361992382,2.39225,2.576994746387861,83.4204,0
2020-06-01,691475.4,2363.1470866657414,2.408,2.2679587953316163,89.9764,0
2020-07-01,856389.15,2967.480211778994,2.43375,2.9643215837296735,93.2857,0
2020-08-01,961832.75,3566.540572730262,2.4292000000000002,1.4756846423340397,94.6243,0
2020-09-01,883624.8,3443.5449417484415,2.4137500000000003,0.621906414808882,94.5995,0
2020-10-01,980728.55,3374.7369895606375,2.38875,0.10753709914826455,95.5707,1
2020-11-01,889748.15,3235.4064979092104,2.432,0.7771489441397443,96.0944,1
2020-12-01,879186.05,3810.2350790273636,2.58475,1.7192840096938973,96.8555,0
2021-01-01,835516.2,4068.383056121464,2.6805000000000003,1.3725748955433614,97.7998,0
2021-02-01,799315.4,4456.101680227621,2.847,2.0039088631977564,93.7406,0
2021-03-01,957599.25,4789.399282904478,3.1521999999999997,2.3321250913810703,96.6782,0
2021-04-01,946966.35,5508.745777374756,3.13025,2.8210562775740438,96.8939,0
2021-05-01,1012047.85,6750.8186738608565,3.217,3.102743026269962,97.9551,0
2021-06-01,876430.35,7368.78727254106,3.28675,2.830399837522114,97.9706,0
2021-07-01,890799.8,8241.799971260065,3.33875,3.007344582011803,98.8487,0
2021-08-01,954377.35,8696.739454841649,3.35,3.3882558721021283,98.2683,0
2021-09-01,903864.6,9016.778689737013,3.384,3.4588477653335565,97.0654,0
2021-10-01,902643.9,10181.266449915456,3.61175,4.008939252167858,98.4333,1
2021-11-01,811459.9,10618.623269167945,3.7270000000000003,4.413291376230247,99.0146,1
2021-12-01,786588.75,11724.403425036806,3.641,4.489802623965091,98.897,0
2022-01-01,865595.35,8384.025224647978,3.7241999999999997,3.7773276336060424,97.9535,0
2022-02-01,857764.4,7781.09123347511,4.03225,2.8500386721752182,98.5223,0
2022-03-01,958674.05,6444.9608025983525,5.1045,2.905399013840759,98.9704,0
2022-04-01,887357.35,5743.3454353092875,5.1195,3.601778254535612,98.9204,0
2022-05-01,967900.15,5534.796341313088,5.571,2.8060963927011713,98.4799,0
2022-06-01,876611.3,5356.324042315987,5.7535,2.470428216969024,97.9383,0
2022-07-01,935423.8,5917.084841165239,5.4857499999999995,1.8701439804116846,98.0214,0
2022-08-01,805314.7,4512.9282051354085,5.013199999999999,1.5491497498616513,98.0019,0
2022-09-01,709873.3,4293.664631892451,4.9925,1.0538388806892387,97.9936,0
2022-10-01,678429.45,3132.351963228533,5.2114,1.1581359723369784,98.239,1
2022-11-01,639343.5,2630.2329025041845,5.255,1.279485170551899,97.4555,1
2022-12-01,728871.5,1739.2649985427981,4.7135,1.3472941513549452,95.7545,0
2023-01-01,726013.95,1582.9815583725422,4.5764000000000005,1.0855245551502324,97.4332,0
2023-02-01,487846.15,1519.6051288919862,4.41325,-0.2220812326619029,97.4821,0
2023-03-01,623233.75,1437.226256458258,4.2105,-1.1666491332872218,96.8552,0
2023-04-01,688109.75,1564.101749512263,4.099,-1.3105417116357747,97.7738,0
2023-05-01,779140.2,1554.376183904926,3.915,-1.5888405772705054,97.5956,0
2023-06-01,833035.45,1574.9882120957407,3.80175,-1.1175374244785257,96.9217,0
2023-07-01,684290.75,1663.8293894645628,3.8822,-0.9468427489317955,97.3075,0
2023-08-01,828015.7,1896.102607958357,4.37025,-1.0737442141193088,97.2654,0
2023-09-01,748440.1,2084.3953851323286,4.56275,-0.6592678582568519,97.3037,0
2023-10-01,725774.55,1894.6842622099,4.5068,-0.3750977693375081,96.786,1
2023-11-01,763261.75,1789.1728241809994,4.25375,0.16077805762348973,97.2483,1
2023-12-01,742519.0,1729.1542662394595,3.97175,-0.16765182562094885,97.2445,0
2024-01-01,855652.3,2432.7803957574356,3.8543999999999996,-0.3425964452993105,95.7457,0
2024-02-01,781434.1,2360.4671160942175,4.04375,-0.19358783227019252,96.9553,0
2024-03-01,743417.05,2403.2485181935403,4.022,-0.3560439565121814,97.0896,0
2024-04-01,770337.1,2866.6684213088156,4.0022,-0.9604809716445861,96.564,0
2024-05-01,752893.3,3085.381962013552,3.82225,-0.5861395273031874,97.1046,0
2024-06-01,827757.05,3713.294222367182,3.722,-0.3514855401773258,96.9264,0
2024-07-01,939600.35,3857.9533567463277,3.8102000000000005,-0.048609942216036386,96.1663,0
2024-08-01,960597.05,3886.7155184642215,3.6995,0.20616907790178837,96.6244,0
2024-09-01,954706.4,4112.238807242766,3.5578000000000003,0.10188611779873852,96.0864,0
2024-10-01,905025.75,5095.746147230511,3.58525,-0.3497054627083099,95.4449,1
2024-11-01,884315.05,5146.350615303998,3.52175,-0.28338222167519633,95.7246,1
2024-12-01,921616.75,4550.452697134002,3.4942,-0.26466796212542454,96.1524,0
2025-01-01,924245.0,2204.1317642110325,3.6342499999999998,-0.18108660311405533,95.7673,0
2025-02-01,801398.0,2339.1622663695775,3.67475,-0.0029362954939949636,96.9554,0
2025-03-01,778403.7,1971.7151711714494,3.585,-0.18538200273472413,97.3898,0
2025-04-01,842806.65,2035.1335103260028,3.5665,-0.24967122881421558,97.3314,0
2025-05-01,716618.6,2343.080714929109,3.499,0.27699291287637995,97.2482,0
2025-06-01,892339.75,2343.1768623082194,3.599,0.08430160653236782,97.5794,0
2025-07-01,1019837.3,2543.218198263848,3.7785,0.023443848201122656,98.0693,0
2025-08-01,958355.15,2623.4336291685386,3.74375,-0.08476188869253286,98.084,0
2025-09-01,883053.25,2742.4440232302923,3.7484,-0.02271868843500489,98.0473,0
2025-10-01,848424.25,2873.1555563358065,3.6785,-0.07912691954150282,97.2128,1
2025-11-01,782249.0,2557.826880189483,3.82225,-0.14956963870050222,97.2113,1
